売上№,売上日,行№,品名,単位,数量,単価,金額,備考
88581,2021/5/20,79,ベレオ宮北                              ,式　,1,1320 ,1320 ,
88581,2021/5/20,80,タウニィ寿里                            ,式　,1,1320 ,1320 ,
88581,2021/5/20,81,フォーブル木ノ本                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,82,ラベニュー城山                          ,式　,1,770 ,770 ,
88581,2021/5/20,83,フレグランス吹上                        ,式　,1,495 ,495 ,
88581,2021/5/20,84,メゾン南方                              ,式　,1,1045 ,1045 ,
88581,2021/5/20,85,ラベニュー岩橋                          ,式　,1,1166 ,1166 ,
88581,2021/5/20,86,タウニィ山村                            ,式　,1,770 ,770 ,
88581,2021/5/20,87,ラベニュー谷口                          ,式　,1,1320 ,1320 ,
88581,2021/5/20,88,タウニィ酒井                            ,式　,1,693 ,693 ,
88581,2021/5/20,89,フレグランス畑屋敷                      ,式　,1,495 ,495 ,
88581,2021/5/20,90,フォーブル苗代                          ,式　,1,693 ,693 ,
88581,2021/5/20,91,フォーブル若葉                          ,式　,1,770 ,770 ,
88581,2021/5/20,92,フォーブル松見                          ,式　,1,1320 ,1320 ,
88581,2021/5/20,93,ラベニューコスモ                        ,式　,1,770 ,770 ,
88581,2021/5/20,94,タウニィ紀ノ川                          ,式　,1,693 ,693 ,
88581,2021/5/20,95,タウニィ料理松                          ,式　,1,1122 ,1122 ,
88581,2021/5/20,96,タウニィ清水                            ,式　,1,770 ,770 ,
88581,2021/5/20,97,タウニィ浜代                            ,式　,1,968 ,968 ,
88581,2021/5/20,98,タウニィ浜代２                          ,式　,1,693 ,693 ,
88581,2021/5/20,99,フォーブルさち                          ,式　,1,1397 ,1397 ,
88581,2021/5/20,100,タウニィ美園                            ,式　,1,693 ,693 ,
88581,2021/5/20,101,フレグランス松江                        ,式　,1,495 ,495 ,
88581,2021/5/20,102,セキワガーデンハウス春日                ,式　,1,968 ,968 ,
88581,2021/5/20,103,ラベニュー根来                          ,式　,1,693 ,693 ,
88581,2021/5/20,104,シローズフレグランス                    ,式　,1,770 ,770 ,
88581,2021/5/20,105,ドミールクルス                          ,式　,1,1320 ,1320 ,
88581,2021/5/20,106,グリーンビレッジ２１                    ,式　,1,2145 ,2145 ,
88581,2021/5/20,107,サニーハイツひまわり                    ,式　,1,1320 ,1320 ,
88581,2021/5/20,108,パールハイツ有田                        ,式　,1,968 ,968 ,
88581,2021/5/20,109,フレグランス小林                        ,式　,1,495 ,495 ,
88581,2021/5/20,110,フレグランス延時                        ,式　,1,495 ,495 ,
88581,2021/5/20,111,フレグランス畑毛                        ,式　,1,1320 ,1320 ,
88581,2021/5/20,112,フレグランス藤井                        ,式　,1,770 ,770 ,
88581,2021/5/20,113,フレグランス山崎                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,114,フレグランス森澤                        ,式　,1,1320 ,1320 ,
88581,2021/5/20,115,フレグランス中松江                      ,式　,1,693 ,693 ,
88581,2021/5/20,116,ガーデンハイツ箕島                      ,式　,1,693 ,693 ,
88581,2021/5/20,117,アドザックス吉田                        ,式　,1,495 ,495 ,
88581,2021/5/20,118,石津ハイツ                              ,式　,1,1045 ,1045 ,
88581,2021/5/20,119,フォーブル石野                          ,式　,1,770 ,770 ,
88581,2021/5/20,120,フレグランス翠                          ,式　,1,2354 ,2354 ,
88581,2021/5/20,121,アドザックス吉田Ｂ棟                    ,式　,1,495 ,495 ,
88581,2021/5/20,122,マリポーサ前田                          ,式　,1,495 ,495 ,
88581,2021/5/20,123,フレグランス巴                          ,式　,1,1485 ,1485 ,
88581,2021/5/20,124,フレグランス堀止                        ,式　,1,495 ,495 ,
88581,2021/5/20,125,フレグランス六十谷                      ,式　,1,770 ,770 ,
88581,2021/5/20,126,フレグランス木ノ本                      ,式　,1,495 ,495 ,
88581,2021/5/20,127,フレグランス今吉                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,128,フレグランス矢野                        ,式　,1,1045 ,1045 ,
88581,2021/5/20,129,フレグランス平田                        ,式　,1,495 ,495 ,
88581,2021/5/20,130,フレグランス築港                        ,式　,1,495 ,495 ,
88581,2021/5/20,131,フレグランス松ヶ丘                      ,式　,1,495 ,495 ,
88581,2021/5/20,132,フレグランス秋桜                        ,式　,1,495 ,495 ,
88581,2021/5/20,133,フレグランス雑賀                        ,式　,1,968 ,968 ,
88581,2021/5/20,134,フレグランスロゼ                        ,式　,1,2134 ,2134 ,
88581,2021/5/20,135,グラン・ファーム                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,136,フレグランス栄                          ,式　,1,1045 ,1045 ,
88581,2021/5/20,137,Ｃｉｔｙ　Ｋｉｎｏｍｏｔｏ              ,式　,1,968 ,968 ,
88581,2021/5/20,138,フレグランスせせらぎ                    ,式　,1,495 ,495 ,
88581,2021/5/20,139,フレグランスＡＫＩＨＯ                  ,式　,1,968 ,968 ,
88581,2021/5/20,140,フレグランスさつき                      ,式　,1,770 ,770 ,
88581,2021/5/20,141,ガーデンハイツ小二里                    ,式　,1,1320 ,1320 ,
88581,2021/5/20,142,フレグランス桜ヶ丘                      ,式　,1,495 ,495 ,
88581,2021/5/20,143,ガーデンハイツ小二里２                  ,式　,1,495 ,495 ,
88581,2021/5/20,144,ディアスワーブラー                      ,式　,1,770 ,770 ,
88581,2021/5/20,145,フレグランス藤井Ⅱ                      ,式　,1,693 ,693 ,
88581,2021/5/20,146,フレグランスフクイ                      ,式　,1,968 ,968 ,
88581,2021/5/20,147,ディアス栄谷                            ,式　,1,495 ,495 ,
88581,2021/5/20,148,ディアスかもと                          ,式　,1,968 ,968 ,
88581,2021/5/20,149,ベルメゾン                              ,式　,1,1320 ,1320 ,
88581,2021/5/20,150,フレグランス竹中                        ,式　,1,495 ,495 ,
88581,2021/5/20,151,ディアス松ヶ丘                          ,式　,1,495 ,495 ,
88581,2021/5/20,152,ディアス北村                            ,式　,1,1122 ,1122 ,
88581,2021/5/20,153,ディアスミレット                        ,式　,1,1320 ,1320 ,
88581,2021/5/20,154,ディアスＭ                              ,式　,1,1958 ,1958 ,
88581,2021/5/20,155,フォーブル松南                          ,式　,1,495 ,495 ,
88581,2021/5/20,156,ウェストヒルズ                          ,式　,1,1320 ,1320 ,
88581,2021/5/20,157,フレグランス布施屋                      ,式　,1,770 ,770 ,
88581,2021/5/20,158,ディアス小雑賀                          ,式　,1,847 ,847 ,
88581,2021/5/20,159,ラ・サルデーヌ                          ,式　,1,3234 ,3234 ,
88581,2021/5/20,160,ディアス黒江                            ,式　,1,1320 ,1320 ,
88581,2021/5/20,161,ディアス藤本                            ,式　,1,495 ,495 ,
88581,2021/5/20,162,ディアス藤本Ⅱ                          ,式　,1,495 ,495 ,
88581,2021/5/20,163,ディアスウチタ                          ,式　,1,495 ,495 ,
88581,2021/5/20,164,フレグランスうの                        ,式　,1,1315 ,1315 ,
88581,2021/5/20,165,フレグランスⅠ                          ,式　,1,770 ,770 ,
88581,2021/5/20,166,ディアス寿里                            ,式　,1,1397 ,1397 ,
88581,2021/5/20,167,フレグランス宮原                        ,式　,1,968 ,968 ,
88581,2021/5/20,168,ディアスミニ                            ,式　,1,495 ,495 ,
88581,2021/5/20,169,ディアス一本松                          ,式　,1,2376 ,2376 ,
88581,2021/5/20,170,ディアス城山                            ,式　,1,770 ,770 ,
88581,2021/5/20,171,フレグランス池尻                        ,式　,1,495 ,495 ,
88581,2021/5/20,172,フレグランス大宮                        ,式　,1,693 ,693 ,
88581,2021/5/20,173,楠見中ディアス                          ,式　,1,968 ,968 ,
88581,2021/5/20,174,セフィラ　プラッツ                      ,式　,1,770 ,770 ,
88581,2021/5/20,175,ハイツ楠                                ,式　,1,495 ,495 ,
88581,2021/5/20,176,サニーコート                            ,式　,1,1430 ,1430 ,
88581,2021/5/20,177,フォーレスうえだ                        ,式　,1,1694 ,1694 ,
88581,2021/5/20,178,ハイツ萩                                ,式　,1,693 ,693 ,
88581,2021/5/20,179,フォーレス有本                          ,式　,1,1045 ,1045 ,
88581,2021/5/20,180,楠見中ディアスⅡ                        ,式　,1,495 ,495 ,
88581,2021/5/20,181,ハイツ森                                ,式　,1,1045 ,1045 ,
88581,2021/5/20,182,フォーレス花野                          ,式　,1,1166 ,1166 ,
88581,2021/5/20,183,フレグランス小雑賀                      ,式　,1,770 ,770 ,
88581,2021/5/20,184,グリーンルーフ塩屋                      ,式　,1,495 ,495 ,
88581,2021/5/20,185,フレグランス南紀の台                    ,式　,1,990 ,990 ,
88581,2021/5/20,186,グリーンルーフＣｏｃｃｏ                ,式　,1,495 ,495 ,
88581,2021/5/20,187,ハイツ楠Ⅱ                              ,式　,1,495 ,495 ,
88581,2021/5/20,188,シャーメゾン山中                        ,式　,1,495 ,495 ,
88581,2021/5/20,189,シャーメゾン高松                        ,式　,1,770 ,770 ,
88581,2021/5/20,190,メゾン雑賀                              ,式　,1,495 ,495 ,
88581,2021/5/20,191,グリーンルーフのうがわ                  ,式　,1,968 ,968 ,
88581,2021/5/20,192,ドエルＫ                                ,式　,1,495 ,495 ,
88581,2021/5/20,193,シャーメゾン山崎                        ,式　,1,1320 ,1320 ,
88581,2021/5/20,194,シャーメゾン新堂                        ,式　,1,1870 ,1870 ,
88581,2021/5/20,195,シャーメゾン小雑賀                      ,式　,1,1045 ,1045 ,
88581,2021/5/20,196,エクセレンス六十谷                      ,式　,1,770 ,770 ,
88581,2021/5/20,197,シャーメゾンＨＡＭＡＩＣＨＩ            ,式　,1,990 ,990 ,
88581,2021/5/20,198,シャーメゾン打田                        ,式　,1,1045 ,1045 ,
88581,2021/5/20,199,シャーメゾン堀口                        ,式　,1,1320 ,1320 ,
88581,2021/5/20,200,シャーメゾン新堂Ⅱ                      ,式　,1,1045 ,1045 ,
88581,2021/5/20,201,シャーメゾンキタグチ                    ,式　,1,495 ,495 ,
88581,2021/5/20,202,セファミ荊本                            ,式　,1,1045 ,1045 ,
88581,2021/5/20,203,フォーレスＩ＆Ｎ                        ,式　,1,495 ,495 ,
88581,2021/5/20,204,シャーメゾンＭ                          ,式　,1,495 ,495 ,
88581,2021/5/20,205,ヴィンヤードハウスⅢ                    ,式　,1,495 ,495 ,
88581,2021/5/20,206,エクセレンス六十谷Ⅱ                    ,式　,1,770 ,770 ,
88581,2021/5/20,207,ガーデンハイツ湯浅                      ,式　,1,770 ,770 ,
88581,2021/5/20,208,ルミエール湊                            ,式　,1,770 ,770 ,
88581,2021/5/20,209,シャーメゾン紀峰                        ,式　,1,770 ,770 ,
88581,2021/5/20,210,グランメール福島                        ,式　,1,770 ,770 ,
88581,2021/5/20,211,パールハイツ箕島                        ,式　,1,693 ,693 ,
88581,2021/5/20,212,ワイズヴィラ                            ,式　,1,550 ,550 ,
88581,2021/5/20,213,フォーレス・ノベル                      ,式　,1,770 ,770 ,
88581,2021/5/20,214,藤栄ハイツ                              ,式　,1,693 ,693 ,
88581,2021/5/20,215,ラ・サルデーヌⅡ                        ,式　,1,495 ,495 ,
88581,2021/5/20,216,メゾン・ルテシィア                      ,式　,1,495 ,495 ,
88581,2021/5/20,217,シャーメゾン下津                        ,式　,1,693 ,693 ,
88581,2021/5/20,218,シャーメゾンくすの木                    ,式　,1,1980 ,1980 ,
88581,2021/5/20,219,シャーメゾン笠松                        ,式　,1,770 ,770 ,
88581,2021/5/20,220,パークハイツ                            ,式　,1,495 ,495 ,
88581,2021/5/20,221,サニーハイツ向島                        ,式　,1,495 ,495 ,
88581,2021/5/20,222,リバーサイド湯浅                        ,式　,1,770 ,770 ,
88581,2021/5/20,223,ラガール湯浅                            ,式　,1,495 ,495 ,
88581,2021/5/20,224,五月ハイツ                              ,式　,1,1386 ,1386 ,
88581,2021/5/20,225,アン・セリジェ                          ,式　,1,770 ,770 ,
88581,2021/5/20,226,ブランシェ前田                          ,式　,1,770 ,770 ,
88581,2021/5/20,227,シャーメゾン青木                        ,式　,1,770 ,770 ,
88581,2021/5/20,228,フォーナス                              ,式　,1,968 ,968 ,
88581,2021/5/20,229,パレスデュオ・照（テラス）              ,式　,1,770 ,770 ,
88581,2021/5/20,230,シャーメゾンハーヴェスト                ,式　,1,770 ,770 ,
88581,2021/5/20,231,クレール松ヶ丘                          ,式　,1,495 ,495 ,
88581,2021/5/20,232,クレール                                ,式　,1,770 ,770 ,
88581,2021/5/20,233,アン・セリジェ　Ⅱ                      ,式　,1,495 ,495 ,
88581,2021/5/20,234,フレグランス二里ヶ浜                    ,式　,1,770 ,770 ,
88581,2021/5/20,235,アベニール                              ,式　,1,770 ,770 ,
88581,2021/5/20,236,ディアス赤坂                            ,式　,1,770 ,770 ,
88581,2021/5/20,237,カサ・フィオーレＦＧ                    ,式　,1,770 ,770 ,
88581,2021/5/20,238,シャーメゾン安上                        ,式　,1,968 ,968 ,
88581,2021/5/20,239,フローラ                                ,式　,1,770 ,770 ,
88581,2021/5/20,240,ワイズコート                            ,式　,1,495 ,495 ,
88581,2021/5/20,241,シャーメゾン西高松                      ,式　,1,495 ,495 ,
88581,2021/5/20,242,シャーメゾン木ノ本                      ,式　,1,693 ,693 ,
88581,2021/5/20,243,ブランシェＳ                            ,式　,1,693 ,693 ,
88581,2021/5/20,244,ディアスＡＫＩＨＯ                      ,式　,1,693 ,693 ,
88581,2021/5/20,245,シャンブルＭ                            ,式　,1,968 ,968 ,
88581,2021/5/20,246,シャーメゾン幸輝                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,247,ボナール千且                            ,式　,1,770 ,770 ,
88581,2021/5/20,248,イマージュ浜の宮                        ,式　,1,495 ,495 ,
88581,2021/5/20,249,ヴィラ天神崎                            ,式　,1,935 ,935 ,
88581,2021/5/20,250,シャーメゾンフクイ                      ,式　,1,495 ,495 ,
88581,2021/5/20,251,アヴェンヌ太田                          ,式　,1,1122 ,1122 ,
88581,2021/5/20,252,メゾネット松島                          ,式　,1,495 ,495 ,
88581,2021/5/20,253,シャーメゾン今福                        ,式　,1,495 ,495 ,
88581,2021/5/20,254,イマージュ浜の宮Ⅱ                      ,式　,1,693 ,693 ,
88581,2021/5/20,255,シャーメゾン元町奉行                    ,式　,1,220 ,220 ,
88581,2021/5/20,256,シャーメゾン松ヶ丘                      ,式　,1,220 ,220 ,
88581,2021/5/20,257,シャーメゾン西浜Ａ                      ,式　,1,693 ,693 ,
88581,2021/5/20,258,和歌浦ガーデンテラス                    ,式　,1,1320 ,1320 ,
88581,2021/5/20,259,シャーメゾン彩都Ａ                      ,式　,1,693 ,693 ,
88581,2021/5/20,260,シャーメゾンロイヤルヒルズⅠ            ,式　,1,495 ,495 ,
88581,2021/5/20,261,シャーメゾン下津野                      ,式　,1,1166 ,1166 ,
88583,2021/5/15,1,国保野上厚生総合病院                    ,　　,      ,         ,          ,
88583,2021/5/15,2,電気工事                                ,式　,1,400000 ,400000 ,4/3～4/19
88584,2021/5/20,1,消防設備保守点検                        ,　　,      ,         ,          ,
88584,2021/5/20,2,パティオス（総合点検）                  ,式　,1,7600 ,7600 ,3月27日
88584,2021/5/20,3,サンルーカス（総合点検）                ,式　,1,43460 ,43460 ,3月20日
88584,2021/5/20,4,ディアス川畑                            ,式　,1,55440 ,55440 ,〃
88584,2021/5/20,5,カーササンライズ（総合点検）            ,式　,1,11400 ,11400 ,4月5日
88584,2021/5/20,6,グリーンフル鳴神（総合点検）            ,式　,1,33000 ,33000 ,4月24日
88589,2021/5/8,1,パティオス                              ,　　,      ,         ,          ,
88589,2021/5/8,2,消火器4型                               ,本　,2,4500 ,9000 ,5月8日
88589,2021/5/8,3,消火器処分費                            ,本　,2,1000 ,2000 ,〃
88590,2021/5/11,1,ウエストヴィレッジ2000Ⅱ                ,　　,      ,         ,          ,
88590,2021/5/11,2,消火器4型                               ,本　,1,4500 ,4500 ,5月11日
88590,2021/5/11,3,消火器処分費                            ,本　,1,1000 ,1000 ,〃
88590,2021/5/11,4,定温式スポット型感知器                  ,個　,1,3840 ,3840 ,〃
88590,2021/5/11,5,取替費                                  ,式　,1,5000 ,5000 ,
88590,2021/5/11,6,出張費                                  ,式　,1,1500 ,1500 ,〃
88591,2021/5/15,1,カーササンライズ                        ,　　,      ,         ,          ,
88591,2021/5/15,2,消火器4型                               ,本　,3,4500 ,13500 ,5月15日
88591,2021/5/15,3,消火器処分費                            ,本　,3,1000 ,3000 ,〃
88592,2021/5/7,1,三菱電機㈱1L工場                        ,　　,      ,         ,          ,
88592,2021/5/7,2,プレハブ解体に伴う機器撤去工事          ,式　,1,15000 ,15000 ,5月7日
88594,2021/5/19,1,そよかぜの間                            ,　　,      ,         ,          ,
88594,2021/5/19,2,誘導灯取替工事                          ,式　,1,37000 ,37000 ,5月19日
88596,2021/5/19,1,消防設備保守点検に伴う修理              ,　　,      ,         ,          ,
88596,2021/5/19,2,アストボックス中之島                    ,式　,1,40000 ,40000 ,5月19日
88596,2021/5/19,3,アストボックス黒田                      ,式　,1,22000 ,22000 ,〃
88596,2021/5/19,4,アストボックス大新                      ,式　,1,22000 ,22000 ,〃
88597,2021/5/8,1,花王キングライン                        ,　　,      ,         ,          ,
88597,2021/5/8,2,リフト充電電源設備工事                  ,式　,1,350000 ,350000 ,2/22･5/7･5/8
88601,2021/5/18,1,メゾンドシンフォニー様                  ,　　,      ,         ,          ,
88601,2021/5/18,2,誘導灯取替工事                          ,式　,1,120000 ,120000 ,5月18日
88601,2021/5/18,3,                                        ,　　,      ,         ,          ,
88601,2021/5/18,4,2階汚物流し部品取替                     ,式　,1,8000 ,8000 ,5/14･5/19
88603,2021/5/6,1,ワールドプラザ南海　電球交換            ,　　,      ,         ,          ,
88603,2021/5/6,2,5月6日,　　,      ,         ,          ,
88603,2021/5/6,3,3階　廊下　ボール球                     ,個　,3,350 ,1050 ,
88603,2021/5/6,4,4階　廊下　ボール球                     ,個　,6,350 ,2100 ,
88603,2021/5/6,5,取替費                                  ,式　,1,9000 ,9000 ,
88604,2021/5/6,1,ダイヤモンドプラザ　電球交換            ,　　,      ,         ,          ,
88604,2021/5/6,2,5月6日,　　,      ,         ,          ,
88604,2021/5/6,3,1階　EV前　FL20SS                       ,個　,1,340 ,340 ,
88604,2021/5/6,4,取替費                                  ,式　,1,1000 ,1000 ,
88614,2021/5/8,1,MLZ-GZ5017AS                            ,　　,      ,         ,          ,
88614,2021/5/8,2,空冷ﾋｰﾄﾎﾟﾝﾌﾟｲﾝﾊﾞｰﾀﾊｳｼﾞﾝｸﾞｴｱｺﾝ           ,式　,1,250000 ,250000 ,
88614,2021/5/8,3,MULZ-GX5017AS　ｲﾝﾊﾞｰﾀ室外機             ,台　,1,         ,          ,
88614,2021/5/8,4,MLZ-GX5017AS-IN                         ,　　,      ,         ,          ,
88614,2021/5/8,5,天井ｶｾｯﾄ形(1方向吹出)室内機             ,台　,1,         ,          ,
88614,2021/5/8,6,MAC-R01PW　ﾘﾆｭｰｱﾙﾊﾟﾈﾙ(ﾎﾜｲﾄ)             ,枚　,1,         ,          ,
88614,2021/5/8,7,MAC-A01PW　ﾘﾆｭｰｱﾙ用ｱﾀｯﾁﾒﾝﾄ部材(1個ﾎﾜｲﾄ) ,個　,1,         ,          ,
88614,2021/5/8,8,BS　耐塩害仕様                          ,式　,1,45000 ,45000 ,
88614,2021/5/8,9,同上付属品                              ,式　,1,50000 ,50000 ,
88614,2021/5/8,10,取替工事費                              ,式　,1,200000 ,200000 ,
88614,2021/5/8,11,ガス回収費及処分費                      ,式　,1,70000 ,70000 ,
88614,2021/5/8,12,諸経費                                  ,式　,1,60000 ,60000 ,
88616,2021/5/21,1,ジョイフル国分　2階　｢ヨシオカ｣         ,　　,      ,         ,          ,
88616,2021/5/21,2,使用開始届出及び立会試験費              ,式　,1,80000 ,80000 ,5月20日
88618,2021/5/25,1,図面作成費                              ,式　,1,250000 ,250000 ,
88618,2021/5/25,2,現場応援費                              ,式　,1,300000 ,300000 ,
88618,2021/5/25,3,車経費　立替                            ,式　,1,13000 ,13000 ,
88619,2021/5/31,1,消防設備保守点検                        ,　　,      ,         ,          ,
88619,2021/5/31,2,りんくうエルガビル（機器点検）          ,式　,1,390000 ,390000 ,3/23～3/25
88619,2021/5/31,3,イオン貝塚店（総合点検）                ,式　,1,220000 ,220000 ,4月14日
88619,2021/5/31,4,イオンモールりんくう泉南（総合点検）    ,式　,1,1500000 ,1500000 ,4/19～5/7
88619,2021/5/31,5,プリマード東岸和田（総合点検）          ,式　,1,160000 ,160000 ,5/7・5/8
88619,2021/5/31,6,ライオンズマンション三木町（機器点検）  ,式　,1,48000 ,48000 ,5月12日
88619,2021/5/31,7,ライオンズマンション田中町（機器点検）  ,式　,1,57600 ,57600 ,5月14日
88620,2021/5/24,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88620,2021/5/24,2,155区画　原状回復防災工事               ,式　,1,215100 ,215100 ,4/10・4/12
88620,2021/5/24,3,〃　　 　新店B工事                      ,式　,1,86400 ,86400 ,5/14・5/15
88620,2021/5/24,4,〃 　　　感知器端末断線修理作業         ,式　,1,122400 ,122400 ,5月15日
88620,2021/5/24,5,〃　 　　新店B工事消防手続立会試験費    ,式　,1,27000 ,27000 ,5月24日
88621,2021/5/1,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88621,2021/5/1,2,フードコート吹抜横炎感知器取替作業      ,式　,1,208800 ,208800 ,5月1日
88622,2021/5/15,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88622,2021/5/15,2,182区画「ASA」新店防災B工事             ,式　,1,2340000 ,2340000 ,4/10～5/15
88624,2021/5/21,1,イオンモール日根野店                    ,　　,      ,         ,          ,
88624,2021/5/21,2,連結送水管耐圧性能試験                  ,式　,1,306000 ,306000 ,5月21日
88625,2021/5/13,1,イオンモール日根野店                    ,　　,      ,         ,          ,
88625,2021/5/13,2,セイハダンス教室　排煙口スイッチ移設    ,式　,1,72000 ,72000 ,5月13日
88626,2021/5/13,1,イオンモール日根野店                    ,　　,      ,         ,          ,
88626,2021/5/13,2,移動式粉末消火設備ボンベ取替            ,式　,1,270900 ,270900 ,5月13日
88628,2021/5/25,1,グリーンシャポービル                    ,　　,      ,         ,          ,
88628,2021/5/25,2,CO2ボンベ廃棄処分費(運送費込)           ,本　,20,25000 ,500000 ,5月25日
88629,2021/5/31,1,ひろみ家具泉佐野店新築工事              ,　　,      ,         ,          ,
88629,2021/5/31,2,1階・2階・3階エアコン撤去               ,　　,      ,         ,          ,
88629,2021/5/31,3,撤去工事                                ,式　,1,100000 ,100000 ,
88629,2021/5/31,4,廃棄処分費                              ,式　,1,50000 ,50000 ,
88630,2021/5/14,1,やわらぎクリニック                      ,　　,      ,         ,          ,
88630,2021/5/14,2,感知器撤去及び復旧                      ,式　,1,30000 ,30000 ,5/8・5/14
88631,2021/5/6,1,日高町立志賀小学校                      ,　　,      ,         ,          ,
88631,2021/5/6,2,屋内消火栓ポンプ(機器)                  ,式　,1,580000 ,580000 ,5/6消検
88631,2021/5/6,3,届出作成及び消防手続立会試験費          ,式　,1,50000 ,50000 ,〃
88632,2021/5/26,1,ユーフーズ株式会社　様                  ,　　,      ,         ,          ,
88632,2021/5/26,2,1階天井裏誤報感知器取替                 ,　　,      ,         ,          ,
88632,2021/5/26,3,光電式スポット型感知器2種               ,個　,1,12000 ,12000 ,5月26日
88632,2021/5/26,4,工事費                                  ,式　,1,5000 ,5000 ,〃
88632,2021/5/26,5,出張費                                  ,式　,1,1500 ,1500 ,〃
88633,2021/5/27,1,LED照明器具                             ,台　,1,11000 ,11000 ,5月27日
88633,2021/5/27,2,取替工事費                              ,式　,1,5000 ,5000 ,〃
88634,2021/5/8,1,瀬藤病院給湯配管修理                    ,式　,1,93000 ,93000 ,
88634,2021/5/8,2,〃　1階照明器具及びｽﾌﾟﾘｯｸｽ撤去及び復旧  ,式　,1,105000 ,105000 ,
88636,2021/5/22,1,水崎様邸　ルームエアコン取付工事        ,式　,1,240000 ,240000 ,5月22日
88637,2021/5/27,1,和防工業                                ,　　,      ,         ,          ,
88637,2021/5/27,2,防犯カメラ取付                          ,式　,1,313000 ,313000 ,5月27日
88638,2021/5/25,1,宮本様邸                                ,　　,      ,         ,          ,
88638,2021/5/25,2,ｷｯﾁﾝ専用回路ｺﾝｾﾝﾄ増設外電気設備工事     ,式　,1,50000 ,50000 ,5月25日
88639,2021/5/18,1,消火器処分費                            ,本　,12,600 ,7200 ,5月18日
88643,2021/5/31,1,消防設備保守点検                        ,　　,      ,         ,          ,
88643,2021/5/31,2,岡山テナント（機器点検）                ,式　,1,15000 ,15000 ,4月8日
88643,2021/5/31,3,123＋Ｎ岡山本店（総合点検）             ,式　,1,120000 ,120000 ,〃
88643,2021/5/31,4,〃　　　（防火対象物点検）              ,式　,1,40000 ,40000 ,〃
88643,2021/5/31,5,123浜野店（総合点検）                   ,式　,1,140000 ,140000 ,4月9日
88643,2021/5/31,6,〃　　　（防火対象物点検）              ,式　,1,40000 ,40000 ,〃
88643,2021/5/31,7,123藤田店（総合点検）                   ,式　,1,120000 ,120000 ,4月12日
88643,2021/5/31,8,〃　　　（防火対象物点検）              ,式　,1,40000 ,40000 ,〃
88643,2021/5/31,9,123論田店（総合点検）                   ,式　,1,60000 ,60000 ,4月14日
88643,2021/5/31,10,〃　　　（防火対象物点検）              ,式　,1,25000 ,25000 ,〃
88643,2021/5/31,11,123田宮店・立体駐車場（総合点検）       ,式　,1,90000 ,90000 ,4月15日
88643,2021/5/31,12,〃　　　（防火対象物点検）              ,式　,1,25000 ,25000 ,〃
88643,2021/5/31,13,123阿南店（総合点検）                   ,式　,1,60000 ,60000 ,4月16日
88643,2021/5/31,14,〃　　　（防火対象物点検）              ,式　,1,25000 ,25000 ,〃
88643,2021/5/31,15,123宝塚店（機器点検）                   ,式　,1,90000 ,90000 ,4月20日
88643,2021/5/31,16,123塩屋店（機器点検）                   ,式　,1,100000 ,100000 ,4月21日
88643,2021/5/31,17,123長吉店（機器点検）                   ,式　,1,100000 ,100000 ,5月11日
88643,2021/5/31,18,123横浜西口店（機器点検）               ,式　,1,70000 ,70000 ,5月12日
88644,2021/5/12,1,123座間店                               ,　　,      ,         ,          ,
88644,2021/5/12,2,消防設備保守点検後不備改修工事          ,式　,1,240000 ,240000 ,5月12日
88645,2021/5/27,1,NESTA RESORT KOBE                       ,　　,      ,         ,          ,
88645,2021/5/27,2,バンジージャンプ放送スピーカー取付工事  ,式　,1,74000 ,74000 ,5月27日
88646,2021/5/20,1,神戸　日本通運                          ,　　,      ,         ,          ,
88646,2021/5/20,2,屋内消火栓設備配管改修工事              ,式　,1,291000 ,291000 ,5月20日
88647,2021/5/7,1,123水島店　Ⅱ期工事                     ,　　,      ,         ,          ,
88647,2021/5/7,2,消火設備工事                            ,式　,1,26300000 ,26300000 ,5/7消検
88647,2021/5/7,3,自動火災報知設備及び放送設備工事        ,式　,1,2100000 ,2100000 ,〃
88648,2021/5/12,1,123和歌山インター店　女子トイレ         ,　　,      ,         ,          ,
88648,2021/5/12,2,洗浄管水漏れ修理                        ,式　,1,10000 ,10000 ,5月12日
88649,2021/5/13,1,㈱旭物流　第8倉庫                       ,　　,      ,         ,          ,
88649,2021/5/13,2,パッケージ消火設備取付工事              ,式　,1,1600000 ,1600000 ,5/10～5/13
88650,2021/5/31,1,りんくうプレミアムアウトレット          ,　　,      ,         ,          ,
88650,2021/5/31,2,防火設備検査立会費                      ,式　,1,40000 ,40000 ,5月28日
88651,2021/5/11,1,御社社屋・吐前タイヤリサイクルセンター  ,　　,      ,         ,          ,
88651,2021/5/11,2,消防設備保守点検（総合点検）            ,式　,1,30000 ,30000 ,5月11日
88653,2021/5/14,1,消防設備保守点検                        ,　　,      ,         ,          ,
88653,2021/5/14,2,エバグリーン神楽店（総合点検）          ,式　,1,48000 ,48000 ,5月14日
