ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先,請求先ｺｰﾄﾞ
399,高木　史郎                          ,ﾀｶｷﾞｼﾛｳ ,        ,,               ,               ,20,,1,1,1,　　　　　　,               ,
400,ガラス屋工房                        ,ｶﾞﾗｽﾔｺｳﾎ,640-8482,和歌山市六十谷546-2,073-461-7037   ,073-461-9350   ,20,,20,1,2,　　　　　　,               ,
401,アドレ                              ,ｱﾄﾞﾚ    ,        ,和歌山市新内11番地　ダイヤモンドビル3F,073-431-6220   ,               ,20,,20,1,2,　　　　　　,               ,
402,ＦＩＮ                              ,ﾌｧｲﾝ    ,        ,,               ,               ,20,,31,2,2,　　　　　　,               ,
403,鈴木電機                            ,ｽｽﾞｷﾃﾞﾝｷ,649-6212,岩出市新田広芝139-32,0736-62-0469   ,0736-62-0469   ,20,,20,1,2,　　　　　　,               ,
404,カフェローレクス                    ,ｶﾌｪﾛﾚｯｸｽ,640-8341,和歌山市黒田103-1-101,               ,               ,20,,20,1,2,久米　　　　,               ,
408,西田井自治会 _　新江　保夫,ﾆｼﾀｲ    ,        ,,073-461-7903   ,               ,20,,10,2,1,　　　　　　,               ,
409,　　佐藤　洋一                      ,ｻﾄｳﾖｳｲﾁｻ,640-8345,和歌山市新在家43-5,               ,               ,31,,0,1,1,　　　　　　,               ,
410,岡本電気                            ,ｵｶﾓﾄ    ,642-0012,海南市岡田981,073-482-3144   ,073-482-3157   ,20,,10,1,2,社長　　　　,9032766844,
411,下和佐自治会                        ,ｼﾓﾜｻｼﾞﾁｶ,        ,,               ,               ,20,,10,2,2,　　　　　　,               ,
412,モリデンキ                          ,ﾓﾘﾃﾞﾝｷ  ,642-0013,海南市多田229-3,073-482-8727   ,073-482-2027   ,20,,10,1,2,　　　　　　,               ,
413,ユウキビル                          ,ﾕｳｷﾋﾞﾙ  ,        ,,               ,               ,31,,10,1,2,　　　　　　,               ,
414,有限会社　セブンセブンビル          ,ｾﾌﾞﾝｾﾌﾞﾝ,        ,和歌山市七番丁11-1,073-428-0161   ,               ,20,,10,2,2,　　　　　　,               ,
415,　　坂口　　稔                      ,ｻｶｸﾞﾁﾐﾉﾙ,597-0015,大阪府貝塚市堀3丁目21-3,090-9041-4461  ,               ,31,,0,1,1,亜沙子さん　,               ,
418,　　近藤                            ,ｺﾝﾄﾞｳｻﾏ ,        ,,               ,               ,31,,0,1,1,南和酒店　　,               ,
419,綜合警備保障株式会社                ,ｿｳｺﾞｳｹｲﾋ,640-8036,和歌山市東鍛冶屋町49番地2,073-428-1112   ,073-428-2258   ,31,3営業日,31,1,2,　　　　　　,               ,
421,株式会社オカムラ                    ,ｵｶﾑﾗ    ,530-0001,大阪府大阪市北区梅田2-4-9_ブリーゼタワー16階,06-4797-9652   ,06-4797-9195   ,31,,31,1,2,　　　　　　,               ,
423,　　　　下村                        ,ｼﾓﾑﾗ    ,640-8482,和歌山県和歌山市六十谷1049,               ,               ,31,,20,2,1,　　　　　　,               ,
424,有限会社　西川住建                  ,ﾆｼｶﾜｼﾞｭｳ,640-8402,和歌山県和歌山市野崎60-1,073-454-7108   ,073-454-9507   ,20,,10,2,2,　　　　　　,               ,
425,　　　　　　　鈴木                  ,ｽｽﾞｷ    ,        ,,               ,               ,20,,10,2,1,　　　　　　,               ,
426,　　　　　　大宅                    ,ｵｵﾀｸ    ,        ,,               ,               ,20,,10,2,1,　　　　　　,               ,
427,パナソニック株式会社 _　ライフソリューションズ社,ﾊﾟﾅｿﾆｯｸ ,640-8392,和歌山市中之島1518番地,073-423-5702   ,073-423-5752   ,20,25,5,1,2,　　　　　　,               ,
428,　　中筋                            ,ﾅｶｽｼﾞｻﾏ ,640-8323,和歌山市太田713-22,               ,               ,31,,0,1,1,伊勢設計　　,               ,
429,おむすびの味里　岬店                ,ﾐｻﾄﾐｻｷﾃﾝ,599-0301,大阪府泉南郡岬町淡輪3728-3,072-492-5748   ,               ,20,,10,1,2,　　　　　　,               ,
430,株式会社　ワメンテクノ              ,ﾜﾒﾝﾃｸﾉ  ,640-8395,和歌山県和歌山市畑屋敷中ノ丁5,               ,               ,31,,10,1,2,　　　　　　,               ,
431,　　　　　井口                      ,ｲｸﾞﾁ    ,640-8290,和歌山市西長町1丁目3,               ,               ,31,,10,2,1,　　　　　　,               ,
432,国土建設株式会社                    ,ｺｸﾄﾞｹﾝｾﾂ,640-8319,和歌山市手平４丁目６番７０号,073-426-5669   ,073-426-5670   ,31,,10,1,2,　　　　　　,               ,
433,医療法人三光会　かがやきくらぶ      ,ｶｶﾞﾔｷｸﾗﾌ,640-8463,和歌山市楠見中47番地19,073-480-5337   ,073-480-5338   ,20,,20,1,2,　　　　　　,               ,
434,株式会社　たけでん _田辺営業所,ﾀｹﾃﾞﾝﾀﾅﾍ,646-0021,和歌山県田辺市あけぼの38-3,0739-22-7143   ,0739-22-4911   ,31,,31,1,2,商品統括部　,               ,124
436,社会福祉法人きのくに福祉会 _　ごぼうの郷,ｺﾞﾎﾞｳﾉｻﾄ,644-0033,和歌山県御坊市熊野44-4,0738-22-5500   ,               ,31,,0,1,2,　　　　　　,               ,
437,株式会社　関口建設                  ,ｾｷｸﾞﾁｹﾝｾ,640-8483,和歌山市園部９５１番地の２,073-462-6171   ,073-462-6172   ,31,,25,1,2,中井啓善　　,               ,
438,株式会社　大野建設                  ,ｵｵﾉｹﾝｾﾂ ,642-0022,海南市大野中46,073-483-5678   ,073-482-0369   ,25,,25,1,2,　　　　　　,               ,
439,株式会社　三八波                    ,ﾐﾊﾅﾐ    ,640-8341,和歌山市黒田2丁目1番25号,073-475-2949   ,073-497-5010   ,31,,10,1,2,　　　　　　,               ,
440,　　　　　木村　光見                ,ｷﾑﾗ     ,        ,,               ,               ,31,,10,1,1,　　　　　　,               ,
442,上野塾                              ,ｳｴﾉｼﾞｭｸ ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
443,松島テクノ                          ,ﾏﾂｼﾏﾃｸﾉ ,        ,和歌山市松島385-10,               ,               ,20,,10,1,2,　　　　　　,               ,
444,　　山野                            ,ﾔﾏﾉｻﾏ   ,640-0406,和歌山県紀の川市貴志川町西山1293-2,               ,               ,31,,0,1,1,伊勢設計　　,               ,
445,マルス栖原三宝柑出荷組合            ,ﾏﾙｽｼｭｯｶｸ,643-0005,和歌山県有田郡湯浅町大字栖原513-1,0737-63-4811   ,0737-64-0512   ,31,,0,1,2,　　　　　　,               ,
446,株式会社　大西商会                  ,ｵｵﾆｼｼｮｳｶ,        ,和歌山県和歌山市湊通丁南4丁目8,               ,               ,20,,10,1,2,　　　　　　,               ,
447,株式会社ＭＤロジス西日本サービス    ,ｴﾑﾃﾞｨﾛｼﾞ,661-0972,兵庫県尼崎市小中島1-24-36,06-6498-7704   ,               ,20,,10,1,2,　　　　　　,               ,
448,小西防災設備株式会社                ,ｺﾆｼﾎﾞｳｻｲ,590-0807,大阪府堺市堺区旭ヶ丘南町４丁４-３４,072-241-4448   ,               ,20,,10,1,2,　　　　　　,               ,
449,板谷　あけみ                        ,ｲﾀﾀﾆ    ,        ,,               ,               ,31,,10,1,2,　　　　　　,               ,
450,宝食品工業株式会社                  ,ﾀｶﾗｼｮｸﾋﾝ,640-8314,和歌山県和歌山市神前364-1,073-471-1558   ,073-473-6669   ,31,,0,1,2,　　　　　　,               ,
451,イシイヤオヤ                        ,ｲｼｲﾔｵﾔ  ,        ,和歌山市鷹匠町１丁目２２－１,               ,               ,31,,10,1,2,　　　　　　,               ,
452,株式会社大谷住宅設備                ,ｵｵﾀﾆｾﾂﾋﾞ,649-1323,和歌山県日高郡日高町小熊3684-12,0738-24-0710   ,0738-24-1733   ,31,,10,1,2,　　　　　　,               ,
453,竹内電気工事                        ,ﾀｹｳﾁﾃﾞﾝｷ,661-0014,兵庫県尼崎市上ノ島町１丁目20-3,06-6427-5504   ,               ,31,,10,1,2,竹内　清　　,               ,
454,ヴェルナールありた                  ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
455,なたぎ里借家                        ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
456,プリシェール湯浅                    ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
457,一軒家                              ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
458,社長のお母様宅                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
459,栗山さん借家                        ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
460,湯浅ハイツ                          ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
461,社長宅                              ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
462,ヒロミマンション                    ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
463,サンライズマンション                ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
464,小池借家                            ,1ｷﾀ     ,        ,,               ,1              ,20,,10,1,2,　　　　　　,               ,138
465,野崎マンション                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
466,野崎Ⅱマンション                    ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
467,シャルマンフジ                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
468,ノアールペルル                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
469,シャルマンフジ２番館                ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
470,株式会社真成                        ,ｼﾝｾｲ    ,584-0073,大阪府富田林市寺池台5-19-7-NB201,0721-28-8758   ,               ,31,,0,1,2,　　　　　　,               ,
471,ふぁみーゆ吉備                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
472,ＡＢＣライフ港                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
473,松島借家                            ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
474,ＡＢＣライフ宮原                    ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
475,布施屋アパート                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
476,ノアールペルル                      ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
477,みなとハイツ                        ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
478,栗原様                              ,1ｷﾀ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
480,　　　　　　　　関                  ,ｾｷ      ,        ,,               ,               ,20,,10,1,1,　　　　　　,               ,
481,ステーキハウスけん                  ,ｽﾃｰｷﾊｳｽｹ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
482,カットスタジオ　ドンキー            ,ﾄﾞﾝｷｰ   ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
483,株式会社アクセス                    ,ｱｸｾｽ    ,642-0023,和歌山県海南市重根2148番地の38,               ,               ,31,,10,1,2,伊勢　　　　,               ,
484,仁屋 _石澤　仁　様,ｼﾞﾝﾔ    ,547-0033,大阪市平野区平野西3-9-26_朝山文化住宅2階 南2軒目,06-6776-2948   ,06-6776-2948   ,20,,10,1,2,　　　　　　,               ,
486,海南設備工事株式会社                ,ｶｲﾅﾝｾﾂﾋﾞ,642-0001,和歌山県海南市船尾198,073-483-5115   ,               ,20,,10,1,2,　　　　　　,090-3283-2292  ,
487,和歌山市立　宮小学校                ,ﾐﾔｼｮｳｶﾞｯ,        ,,               ,               ,31,,10,1,2,　　　　　　,               ,
488,株式会社市川ビル                    ,ｲﾁｶﾜﾋﾞﾙ ,640-8152,和歌山市十番丁15番地,073-433-3555   ,073-423-5750   ,31,,10,1,2,　　　　　　,               ,
489,三幸電気株式会社                    ,ｻﾝｺｳﾃﾞﾝｷ,        ,有田郡湯浅町大字湯浅1457-11,0737-63-4356   ,               ,31,,10,1,2,　　　　　　,               ,
490,インペリアル高松管理組合            ,ｲﾝﾍﾟﾘｱﾙﾀ,        ,,               ,               ,31,,10,1,2,　　　　　　,               ,
491,貴志　文一                          ,ｷｼ      ,        ,和歌山市園部1611-21,               ,               ,20,,10,1,2,　　　　　　,               ,
492,かつ専門　西河                      ,ﾆｼｶﾜ    ,640-8024,和歌山県和歌山市元寺町5-15-1,073-414-5151   ,               ,31,,0,1,2,　　　　　　,               ,
493,秋田クリニック                      ,ｱｷﾀｸﾘﾆｯｸ,641-0035,和歌山市関戸４丁目３－１０,073-445-2700   ,               ,20,,10,1,2,　　　　　　,               ,
494,新栄電気株式会社                    ,ｼﾝｴｲﾃﾞﾝｷ,599-0311,大阪府泉南郡岬町多奈川谷川2451-1,072-492-1277   ,               ,20,25,25,1,2,　　　　　　,               ,
495,　株式会社山本商店                  ,ﾔﾏﾓﾄｼｮｳﾃ,640-8287,和歌山県和歌山市築港3丁目12-1,073-421-3377   ,073-421-8700   ,31,,10,1,2,　　　　　　,               ,
496,有限会社丸福物産                    ,ﾏﾙﾌｸﾌﾞｯｻ,640-0402,紀の川市貴志川町北山５０８－１,0736-64-8121   ,               ,20,,10,1,2,　　　　　　,               ,
497,和歌山市立中之島小学校              ,ﾅｶﾉｼﾏｼｮｳ,        ,,               ,               ,31,,10,2,2,　　　　　　,               ,
498,　　辻本                            ,ﾂｼﾞﾓﾄｻﾏ ,        ,,               ,               ,31,,0,1,1,辻本硝子　　,               ,
499,サンライズマンション岩出            ,ｻﾝﾗｲｽﾞﾏ ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,138
500,大畑　光央                          ,ｵｵﾊﾀ    ,641-0021,和歌山市和歌浦東3-5-53,               ,               ,31,,10,1,2,　　　　　　,               ,
501,有限会社きのしたメディカルサービス  ,ｷﾉｼﾀﾒﾃﾞｨ,649-6324,和歌山市禰宜972-1,073-465-3333   ,073-465-2777   ,20,,10,1,2,貝塚谷様　　,               ,
502,ペンションうえみち                  ,ｳｴﾐﾁ    ,644-0025,御坊市塩屋町北塩屋1825-14,0738-23-5280   ,               ,20,,10,1,2,　　　　　　,               ,
503,雪本電機工業所                      ,ﾕｷﾓﾄﾃﾞﾝｷ,649-7202,和歌山県橋本市高野口町伏原1168-1,0736-43-0041   ,0736-42-0496   ,20,,0,1,2,　　　　　　,               ,
504,積水ハウスリフォーム株式会社        ,ｾｷﾜﾊｳｽﾘ ,        ,和歌山市太田4-5-5　野上ビル4F,073-476-2627   ,073-472-6863   ,31,,10,1,2,　　　　　　,               ,
505,神樂防災株式会社                    ,ｶｸﾞﾗﾎﾞｳｻ,194-0013,東京都町田市原町田1-2-10,               ,               ,25,,20,1,2,湯浅　　　　,               ,
506,中村                                ,ﾅｶﾑﾗ    ,        ,,090-7487-4468  ,               ,31,,10,1,1,　　　　　　,               ,
507,有限会社　西日本マインド            ,ﾆｼﾆﾎﾝﾏｲﾝ,641-0013,和歌山市内原1321,               ,               ,31,,10,1,2,　　　　　　,               ,
508,株式会社　朝永電気                  ,ｱｻﾅｶﾞﾃﾞﾝ,583-0881,大阪府羽曳野市島泉7-6-18,072-939-1781   ,090-1598-8644  ,31,,10,1,2,　　　　　　,               ,
509,若野管工                            ,ﾜｶﾉｶﾝｺｳ ,        ,和歌山県日高郡美浜町和田362-2,               ,               ,31,,10,1,2,　　　　　　,               ,
510,竹中接骨院                          ,ﾀｹﾅｶｾｯｺﾂ,        ,和歌山県有田市箕島291-1,               ,               ,31,,10,1,2,　　　　　　,               ,
511,株式会社なかはら                    ,ﾅｶﾊﾗ    ,537-0022,大阪府大阪市東成区中本3丁目12-6,06-4309-5570   ,06-4309-5571   ,31,,0,1,2,　　　　　　,               ,
512,三協樹脂建材株式会社                ,ｻﾝｷｮｳｼﾞｭ,640-8297,和歌山県和歌山市西河岸町47,073-432-3333   ,073-432-3332   ,20,,20,1,2,　　　　　　,               ,
514,有限会社太陽興産                    ,ﾀｲﾖｳｺｳｻﾝ,648-0064,和歌山県橋本市橋本2-7-4,0736-33-1133   ,0736-32-7080   ,31,,10,2,2,　　　　　　,               ,
515,いこいの家・翁                      ,ｲｺｲﾉｲｴｵｷ,648-0096,橋本市御幸辻173-1,0736-32-4838   ,0736-32-9108   ,20,,10,1,2,　　　　　　,               ,
516,浅江胃腸科                          ,ｱｻｴｲﾁｮｳｶ,640-0416,紀の川市貴志川町長山277-214,0736-64-8050   ,               ,31,,10,1,2,　　　　　　,               ,
517,ナガイ工務店                        ,ﾅｶﾞｲｺｳﾑﾃ,640-8301,和歌山市岩瀬1553,073-472-2892   ,073-472-2896   ,20,,10,1,2,　　　　　　,               ,
518,和歌山電工株式会社                  ,ﾜﾃﾞﾝｺ   ,640-8033,和歌山市本町9丁目23番地,073-431-1100   ,073-431-1124   ,20,,10,1,2,　　　　　　,               ,
519,中川電気工事店                      ,ﾅｶｶﾞﾜﾃﾞﾝ,637-0004,奈良県五条市今井町703-6,0747-22-1438   ,0747-22-9988   ,20,,10,1,2,　　　　　　,               ,
521,久木畜産猪八                        ,ｸｷﾁｸｻﾝ  ,640-8301,和歌山県和歌山市岩橋669-2,               ,               ,31,,0,1,2,　　　　　　,               ,
525,　　　西川                          ,ﾆｼｶﾜｻﾏ  ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
527,有限会社菅田電気                    ,ｽｶﾞﾀﾃﾞﾝｷ,        ,海南市下津町上1147-1,               ,               ,20,,10,1,2,　　　　　　,               ,
534,エアーサービス工業株式会社          ,ｴｱｰｻｰﾋﾞｽ,920-0342,石川県金沢市畝田西2丁目145番地2,076-267-4039   ,076-208-4064   ,31,,31,,2,半金半手　　,               ,
539,株式会社昭和工機                    ,ｼｮｳﾜｺｳｷ ,640-8404,和歌山市湊1850,073-451-5500   ,073-451-5488   ,20,,0,1,2,井口様　　　,               ,
540,株式会社月城                        ,ﾂｷｼﾛ    ,599-0301,泉南郡岬町淡輪1522-2,072-494-2381   ,072-494-3758   ,31,,10,2,2,　　　　　　,               ,
544,株式会社オーパーツ                  ,ｵｰﾊﾟｰﾂ  ,        ,橋本市御幸辻173-1,0736-32-4838   ,               ,20,,10,1,2,　　　　　　,               ,
546,株式会社江川組                      ,ｴｶﾞﾜｸﾐ  ,649-6326,和歌山市和佐中233-1,073-477-1104   ,073-477-3250   ,20,,20,1,2,　　　　　　,               ,
547,株式会社ミヤザワ建設                ,ﾐﾔｻﾞﾜｹﾝｾ,551-0002,大阪市大正区三軒家東5-4-9,06-6555-6686   ,06-6555-6687   ,15,,15,1,2,　　　　　　,               ,
548,前田電気                            ,ﾏｴﾀﾞﾃﾞﾝｷ,641-0036,和歌山市西浜799-16,09019152744    ,073-418-6006   ,20,,10,1,2,　　　　　　,               ,
549,オフィス・ケイキューブ株式会社      ,ｵﾌｨｽｹｲｷｭ,550-0015,大阪府大阪市南堀江１丁目10番地1号_ＫＴ堀江ビル,06-6531-2738   ,06-6531-2721   ,20,,10,1,2,木林　　　　,090-9874-8271  ,
550,ハザマ電気工事店                    ,ﾊｻﾞﾏﾃﾞﾝｷ,        ,奈良県天理市杉本町383-89,074-363-1996   ,               ,20,,10,1,2,　　　　　　,               ,
551,株式会社ライフガーデン              ,ﾗｲﾌｶﾞｰﾃﾞ,648-0096,和歌山県橋本市御幸辻176-1,               ,               ,20,,10,1,2,　　　　　　,               ,
553,トップメゾン株式会社 _　大阪支店,ﾄｯﾌﾟﾒｿﾞﾝ,555-0001,大阪府大阪市西淀川区佃2丁目3-5_リバーサイド ラ・メゾンビル,06-4808-8884   ,06-4808-8892   ,31,,10,1,2,中澤勇　　　,080-5292-5000  ,
555,社会福祉法人　一会                  ,ﾊｼﾞﾒｶｲ  ,637-0071,奈良県五條市二見５丁目３番６４号,0747-22-5200   ,0747-22-5201   ,31,,31,1,2,　　　　　　,               ,
556,　　山東                            ,ｻﾝﾄﾞｳ   ,        ,,               ,               ,20,,10,2,1,　　　　　　,               ,
557,伸和電気                            ,ｼﾝﾜﾃﾞﾝｷ ,640-0332,和歌山市冬野1595,073-479-0939   ,               ,20,,10,1,2,　　　　　　,               ,
558,岡崎                                ,ｵｶｻﾞｷ   ,        ,,               ,               ,31,,1,2,1,　　　　　　,               ,
560,小藪電気                            ,ｺﾔﾌﾞﾃﾞﾝｷ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
561,やきとり大吉　善明寺店              ,ﾔｷﾄﾘﾀﾞｲｷ,        ,和歌山市善明寺410,073-454-6264   ,               ,20,,10,1,2,　　　　　　,               ,
562,樹洋住宅                            ,ｷﾖｳｼﾞｭｳﾀ,640-8323,和歌山市太田1丁目6番13号_駅前第一ビル2階,073-473-3130   ,073-473-3126   ,20,,10,2,2,社長　　　　,9030519162,
563,有限会社俊英                        ,ｼｭﾝｴｲ   ,640-0402,紀の川市貴志川町北山508-1,               ,               ,20,,10,1,2,居酒屋丸福　,               ,
564,株式会社石大家具                    ,ｲｼﾀﾞｲｶｸﾞ,640-0415,紀の川市貴志川町長原1015の4,               ,               ,31,,10,1,2,　　　　　　,               ,
565,川崎電器商会                        ,ｶﾜｻｷﾃﾞﾝｷ,640-8303,和歌山市鳴神129-4,073-471-3585   ,               ,20,,10,1,2,　　　　　　,               ,
566,ニューハイツ光陽B棟　管理組合       ,ﾆｭｰﾊｺｳﾖｳ,        ,和歌山市築港5丁目5-3,               ,               ,31,,10,1,2,　　　　　　,               ,
567,麻雀アン                            ,ﾏｰｼﾞｬﾝｱﾝ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
568,三石興産                            ,ﾐﾂｲｼｺｳｻﾝ,648-0097,和歌山県橋本市柿の木坂9-15,0736-32-5033   ,0736-32-5033   ,20,,31,1,2,御幸辻の番地,173-1          ,
569,有限会社エヌ・ビルド                ,ｴﾇﾋﾞﾙﾄﾞ ,        ,和歌山県橋本市柿の木坂173-1,               ,               ,20,,31,1,2,　　　　　　,               ,
570,粉川　敏幸                          ,ｺｶﾜ     ,        ,和歌山市松島519-6,               ,               ,20,,10,1,1,　　　　　　,               ,
571,浅田電機株式会社                    ,ｱｻﾀﾞﾃﾞﾝｷ,649-1443,和歌山県日高郡日高川町大字和佐1450,0738-53-1050   ,               ,31,,10,1,2,　　　　　　,               ,
572,村本建設株式会社                    ,ﾑﾗﾓﾄｹﾝｾﾂ,543-0002,大阪市天王寺区上汐４丁目5-26,06-6772-8201   ,06-6772-8176   ,20,,10,1,2,　　　　　　,               ,
574,三菱電機ライフサービス株式会社      ,ﾐﾂﾋﾞｼﾗｲﾌ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
575,タクマティック株式会社              ,ﾀｸﾏﾃｨｯｸ ,581-0063,大阪府八尾沼2丁目１１の１０３,072-948-6332   ,072-948-6333   ,10,,10,1,2,旧タクマ保温,               ,
576,株式会社　キタムラ                  ,ｷﾀﾑﾗ    ,        ,奈良県五條市五条1丁目４-19,0747-24-3330   ,               ,20,,10,1,2,　　　　　　,               ,
577,吉栄観光株式会社                    ,ﾖｼｴｲｶﾝｺｳ,570-0041,大阪府守口市東郷通3-5-10,               ,               ,20,,10,1,2,　　　　　　,               ,
578,中矢電設                            ,ﾅｶﾔﾃﾞﾝｾﾂ,637-0082,奈良県五條市中之町548-2,0747-25-5145   ,               ,20,,10,1,2,　　　　　　,090-1580-7989  ,
579,ＴＫＬＣ株式会社 工事技術部         ,ﾃｨｰｹｲｴﾙｼ,649-0314,有田市野187番地1,0737-82-5252   ,0737-82-5280   ,31,,31,1,2,松下　　　　,090-3358-5182  ,
580,ひらい内科クリニック                ,ﾋﾗｲﾅｲｶ  ,637-0004,奈良県五条市今井4丁目1-16,0747-25-5525   ,0747-25-5535   ,31,,0,1,2,　　　　　　,               ,
581,福林電気                            ,ﾌｸﾊﾞﾔｼﾃﾞ,643-0002,有田郡湯浅町青木470-5,               ,               ,20,,10,1,2,　　　　　　,               ,
582,やすらぎの郷　メゾンドシンフォニー  ,ﾒｿﾞﾝﾄﾞｼﾝ,640-8462,和歌山市粟字大堀ノ坪２３７番地,073-457-1717   ,073-457-1718   ,20,,10,1,2,　　　　　　,               ,
583,常伸建設                            ,ｼﾞｮｳｼﾝｹﾝ,649-6253,岩出市紀泉台1-45,0736-63-0108   ,0736-69-1611   ,31,,10,1,2,　　　　　　,               ,
584,シーサイド松宮                      ,ｼｰｻｲﾄﾞﾏﾂ,643-0004,有田郡湯浅町なぎ区3200,0737-62-2670   ,0737-64-1601   ,20,,10,1,2,　　　　　　,               ,
585,ホテルサンローラン                  ,ﾎﾃﾙｻﾝﾛｰﾗ,708-1111,岡山県津山市楢510-1,               ,               ,20,,10,1,2,　　　　　　,               ,
586,浅井                                ,ｱｻｲ     ,640-8391,和歌山市加納４５６番地1,               ,               ,31,,10,1,1,　　　　　　,               ,
587,オーヤシマ株式会社　和歌山営業所    ,ｵｰﾔｼﾏ   ,640-0341,和歌山県和歌山市相坂647,073-479-3291   ,073-479-2944   ,20,,10,1,2,　　　　　　,               ,
588,オーヤシマ株式会社りんくう事務所    ,ｵｰﾔｼﾏﾘﾝｸ,598-0047,泉佐野市りんくう往来南5-13,072-458-0302   ,072-498-1011   ,20,,10,1,2,　　　　　　,               ,
589,向デンキ                            ,ﾑｶｲﾃﾞﾝｷ ,648-0211,和歌山県伊都郡高野町大字高野山８５,0736-56-2193   ,               ,20,,10,1,2,　　　　　　,               ,
590,株式会社あかりホーム                ,ｱｶﾘﾎｰﾑ  ,640-8272,和歌山県和歌山市砂山南2-4-17,073-402-0555   ,073-402-3557   ,20,,10,1,2,　　　　　　,               ,
591,ダイオ電気商会                      ,ﾀﾞｲｵﾃﾞﾝｷ,648-0016,橋本市隅田町下兵庫765,0736-33-5300   ,0736-33-1010   ,20,,10,1,2,　　　　　　,               ,
592,社会福祉法人一会 _　特別養護老人ホームローズ,ﾛｰｽﾞ    ,557-0003,大阪府大阪市西成区天下茶屋北２丁目４－７,06-6647-7300   ,               ,31,,31,1,2,　　　　　　,               ,
593,オーヤシマ株式会社　本社            ,ｵｰﾔｼﾏ   ,649-6244,和歌山県岩出市畑毛306-2,0736-69-3102   ,0736-69-2331   ,20,,10,1,2,　　　　　　,               ,
594,株式会社保田組                      ,ﾔｽﾀﾞｸﾐ  ,649-0311,和歌山県有田市辻堂４４６,0737-82-5211   ,               ,20,,10,1,2,　　　　　　,               ,
595,ニッタン株式会社　関西支社          ,ﾆｯﾀﾝｶﾝｻｲ,530-0042,大阪市北区天満橋1-4-9,06-6354-3153   ,06-6354-9437   ,31,,31,1,2,　　　　　　,               ,
597,小林設備                            ,ｺﾊﾞﾔｼｾﾂﾋ,642-0015,和歌山県海南市且来384-3,073-482-6462   ,               ,31,,0,1,2,　　　　　　,               ,
598,株式会社淺川組                      ,ｱｻｶﾜｸﾐ  ,640-8551,和歌山市小松原通三丁目６９番地,073-423-7161   ,               ,31,,5,1,2,　　　　　　,               ,
599,ツカサ電気                          ,ﾂｶｻﾃﾞﾝｷ ,640-8401,和歌山市福島579-2-103,073-453-2240   ,090-3679-0100  ,20,,10,2,2,　　　　　　,               ,
600,合同会社ゆい                        ,ﾕｲ      ,594-0032,大阪府和泉市池田下町1155,               ,               ,31,,0,1,2,　　　　　　,               ,
601,まつもと眼科                        ,ﾏﾂﾓﾄｶﾞﾝｶ,649-6323,和歌山市井ノ口123-3,               ,               ,31,,10,2,2,　　　　　　,               ,
602,　　　　　前                        ,ﾏｴ      ,        ,,               ,               ,31,,10,2,1,　　　　　　,               ,
