"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,90,タウニィ清水,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,91,タウニィ浜代,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,92,タウニィ浜代２,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,93,フォーブルさち,式　,1,1397,1397,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,94,タウニィ美園,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,95,フレグランス松江,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,96,セキワガーデンハウス春日,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,97,ラベニュー根来,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,98,シローズフレグランス,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,99,ドミールクルス,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,100,グリーンビレッジ２１,式　,1,2145,2145,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,101,サニーハイツひまわり,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,102,パールハイツ有田,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,103,フレグランス小林,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,104,フレグランス延時,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,105,フレグランス畑毛,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,106,フレグランス藤井,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,107,フレグランス山崎,式　,1,1166,1166,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,108,フレグランス森澤,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,109,フレグランス中松江,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,110,ガーデンハイツ箕島,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,111,アドザックス吉田,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,112,石津ハイツ,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,113,フォーブル石野,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,114,フレグランス翠,式　,1,2354,2354,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,115,アドザックス吉田Ｂ棟,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,116,マリポーサ前田,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,117,フレグランス巴,式　,1,1485,1485,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,118,フレグランス堀止,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,119,フレグランス六十谷,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,120,フレグランス木ノ本,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,121,フレグランス今吉,式　,1,1166,1166,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,122,フレグランス矢野,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,123,フレグランス平田,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,124,フレグランス築港,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,125,フレグランス松ヶ丘,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,126,フレグランス秋桜,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,127,フレグランス雑賀,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,128,フレグランスロゼ,式　,1,2134,2134,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,129,グラン・ファーム,式　,1,1166,1166,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,130,フレグランス栄,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,131,Ｃｉｔｙ　Ｋｉｎｏｍｏｔｏ,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,132,フレグランスせせらぎ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,133,フレグランスＡＫＩＨＯ,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,134,フレグランスさつき,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,135,ガーデンハイツ小二里,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,136,フレグランス桜ヶ丘,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,137,ガーデンハイツ小二里２,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,138,ディアスワーブラー,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,139,フレグランス藤井Ⅱ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,140,フレグランスフクイ,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,141,ディアス栄谷,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,142,ディアスかもと,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,143,ベルメゾン,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,144,フレグランス竹中,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,145,ディアス松ヶ丘,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,146,ディアス北村,式　,1,1122,1122,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,147,ディアスミレット,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,148,ディアスＭ,式　,1,1958,1958,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,149,フォーブル松南,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,150,ウェストヒルズ,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,151,フレグランス布施屋,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,152,ディアス小雑賀,式　,1,847,847,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,153,ラ・サルデーヌ,式　,1,3234,3234,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,154,ディアス黒江,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,155,ディアス藤本,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,156,ディアス藤本Ⅱ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,157,ディアスウチタ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,158,フレグランスうの,式　,1,1315,1315,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,159,マイルドディアスきし,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,160,フレグランスⅠ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,161,ディアス寿里,式　,1,1397,1397,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,162,フレグランス宮原,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,163,ディアスミニ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,164,ディアス一本松,式　,1,2376,2376,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,165,ディアス城山,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,166,フレグランス池尻,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,167,フレグランス大宮,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,168,楠見中ディアス,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,169,セフィラ　プラッツ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,170,ハイツ楠,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,171,サニーコート,式　,1,1430,1430,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,172,フォーレスうえだ,式　,1,1694,1694,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,173,ハイツ萩,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,174,フォーレス有本,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,175,楠見中ディアスⅡ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,176,ハイツ森,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,177,フォーレス花野,式　,1,1166,1166,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,178,フレグランス小雑賀,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,179,グリーンルーフ塩屋,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,180,フレグランス南紀の台,式　,1,990,990,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,181,グリーンルーフＣｏｃｃｏ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,182,ハイツ楠Ⅱ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,183,シャーメゾン山中,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,184,シャーメゾン高松,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,185,メゾン雑賀,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,186,グリーンルーフのうがわ,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,187,ドエルＫ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,188,シャーメゾン山崎,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,189,シャーメゾン新堂,式　,1,1870,1870,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,190,シャーメゾン小雑賀,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,191,エクセレンス六十谷,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,192,シャーメゾンＨＡＭＡＩＣＨＩ,式　,1,990,990,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,193,シャーメゾン打田,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,194,シャーメゾン堀口,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,195,シャーメゾン新堂Ⅱ,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,196,シャーメゾンキタグチ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,197,セファミ荊本,式　,1,1045,1045,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,198,フォーレスＩ＆Ｎ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,199,シャーメゾンＭ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,200,ヴィンヤードハウスⅢ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,201,エクセレンス六十谷Ⅱ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,202,ガーデンハイツ湯浅,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,203,ルミエール湊,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,204,シャーメゾン紀峰,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,205,グランメール福島,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,206,パールハイツ箕島,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,207,ワイズヴィラ,式　,1,550,550,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,208,フォーレス・ノベル,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,209,藤栄ハイツ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,210,ラ・サルデーヌⅡ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,211,メゾン・ルテシィア,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,212,シャーメゾン下津,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,213,シャーメゾンくすの木,式　,1,1980,1980,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,214,シャーメゾン笠松,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,215,パークハイツ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,216,サニーハイツ向島,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,217,リバーサイド湯浅,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,218,ラガール湯浅,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,219,五月ハイツ,式　,1,1386,1386,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,220,アン・セリジェ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,221,ブランシェ前田,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,222,シャーメゾン青木,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,223,フォーナス,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,224,パレスデュオ・照（テラス）,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,225,シャーメゾンハーヴェスト,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,226,クレール松ヶ丘,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,227,クレール,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,228,アン・セリジェ　Ⅱ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,229,フレグランス二里ヶ浜,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,230,アベニール,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,231,ディアス赤坂,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,232,カサ・フィオーレＦＧ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,233,シャーメゾン安上,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,234,フローラ,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,235,ワイズコート,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,236,シャーメゾン西高松,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,237,シャーメゾン木ノ本,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,238,ブランシェＳ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,239,ディアスＡＫＩＨＯ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,240,シャンブルＭ,式　,1,968,968,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,241,シャーメゾン幸輝,式　,1,1166,1166,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,242,ボナール千且,式　,1,770,770,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,243,イマージュ浜の宮,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,244,ヴィラ天神崎,式　,1,935,935,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,245,シャーメゾンフクイ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,246,アヴェンヌ太田,式　,1,1122,1122,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,247,メゾネット松島,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,248,シャーメゾン今福,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,249,イマージュ浜の宮Ⅱ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,250,シャーメゾン元町奉行,式　,1,220,220,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,251,シャーメゾン松ヶ丘,式　,1,220,220,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,252,シャーメゾン西浜Ａ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,253,和歌浦ガーデンテラス,式　,1,1320,1320,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,254,シャーメゾン彩都Ａ,式　,1,693,693,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,255,シャーメゾンロイヤルヒルズⅠ,式　,1,495,495,                    ,
87576,2020/9/20,378,積水ハウス不動産関西株式会社                      ,256,シャーメゾン下津野,式　,1,1166,1166,                    ,
87578,2020/9/20,539,株式会社昭和工機                                  ,1,BFGホルダー兼用化配管工事,　　,      ,         ,          ,                    ,
87578,2020/9/20,539,株式会社昭和工機                                  ,2,仮設事務所空調工事,式　,1,289000,289000,                    ,
87817,2020/9/20,816,有限会社プランニング                              ,1,凍結予防ヒーター出張修理,式　,1,25000,25000,                    ,
87651,2020/9/19,578,中矢電設                                          ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87651,2020/9/19,578,中矢電設                                          ,2,ｸﾞﾙｰﾌﾟﾎｰﾑはるすのお家・西吉野(機器点検),式　,1,60000,60000,9月19日,
87611,2020/9/19,764,大和ハウスリフォーム株式会社                      ,1,樋口萬太郎様ガス給湯器取替工事,式　,1,18000,18000,9月19日,
87698,2020/9/18,15,泉州防災株式会社                                  ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87698,2020/9/18,15,泉州防災株式会社                                  ,2,りんくうエルガビル（総合点検）,式　,1,390000,390000,9/16～9/18          ,
87698,2020/9/18,15,泉州防災株式会社                                  ,3,岸和田競輪場･ｻｲｸﾙ会館･ｸﾗﾌﾞﾊｳｽ(機器点検),式　,1,270000,270000,9/24･9/25･9/30      ,
87564,2020/9/18,45,株式会社アイワライフネット                        ,1,グリーンフル堂西Ⅱ　101号室,　　,      ,         ,          ,                    ,
87564,2020/9/18,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,1,3000,3000,9月18日,
87634,2020/9/18,112,積水ハウス不動産関西株式会社                      ,1,フレグランスイチロー　消火器交換,式　,1,34600,34600,9月18日,
87634,2020/9/18,112,積水ハウス不動産関西株式会社                      ,2,藤ハイツ　消火器交換,式　,1,38600,38600,9月18日,
87647,2020/9/18,494,新栄電気株式会社                                  ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87647,2020/9/18,494,新栄電気株式会社                                  ,2,ひらり（総合点検）,式　,1,45000,45000,9月18日,
87647,2020/9/18,494,新栄電気株式会社                                  ,3,看護小規模多機能型ホームひらり(総合点検),式　,1,45000,45000,9月18日,
87601,2020/9/17,419,綜合警備保障株式会社                              ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87601,2020/9/17,419,綜合警備保障株式会社                              ,2,ぱん工房かたつむり（機器点検）,式　,1,20000,20000,9月17日,
87601,2020/9/17,419,綜合警備保障株式会社                              ,3,おかし工房桜和（機器点検）,式　,1,20000,20000,9月17日,
87566,2020/9/17,578,中矢電設                                          ,1,納品,　　,      ,         ,          ,9月17日,
87566,2020/9/17,578,中矢電設                                          ,2,差動式スポット型感知器２種(ベース共),個　,1,1710,1710,                    ,
87566,2020/9/17,578,中矢電設                                          ,3,消火器使用法標識,枚　,1,100,100,                    ,
87581,2020/9/17,751,岡野消防設備株式会社                              ,1,123博多店,　　,      ,         ,          ,                    ,
87581,2020/9/17,751,岡野消防設備株式会社                              ,2,消防設備保守点検後不備改修工事,式　,1,200000,200000,9月17日,
87596,2020/9/16,15,泉州防災株式会社                                  ,1,イオンモールりんくう泉南,　　,      ,         ,          ,                    ,
87596,2020/9/16,15,泉州防災株式会社                                  ,2,イオン側生ゴミ庫排煙スイッチ取替工事,式　,1,72000,72000,9月2日,
87738,2020/9/16,42,小笠原電気株式会社                                ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87738,2020/9/16,42,小笠原電気株式会社                                ,2,地域活動支援センターピア下津(機器点検),式　,1,15000,15000,9月16日,
87738,2020/9/16,42,小笠原電気株式会社                                ,3,農産物販売どんどん広場(機器点検),式　,1,30000,30000,〃                  ,
87591,2020/9/16,751,岡野消防設備株式会社                              ,1,123＋Nはりまや橋店　地下1階喫煙ﾌﾞｰｽ,　　,      ,         ,          ,                    ,
87591,2020/9/16,751,岡野消防設備株式会社                              ,2,感知器交換工事,式　,1,35000,35000,9月16日,
87981,2020/9/16,853,ぶっとく幼稚園                                    ,1,ぶっとく幼稚園様・常楽寺様,　　,      ,         ,          ,                    ,
87981,2020/9/16,853,ぶっとく幼稚園                                    ,2,消防設備保守点検（総合点検）,式　,1,45000,45000,9月16日,
87612,2020/9/15,42,小笠原電気株式会社                                ,1,有田川町防災倉庫,　　,      ,         ,          ,                    ,
87612,2020/9/15,42,小笠原電気株式会社                                ,2,新築工事,式　,1,150000,150000,8/21～9/15          ,
87612,2020/9/15,42,小笠原電気株式会社                                ,3,消火器,式　,1,50000,50000,〃                  ,
87558,2020/9/15,152,有限会社いわでん                                  ,1,湯浅町　自動火災報知設備　移報接点工事,式　,1,45000,45000,9月15日,
87549,2020/9/15,292,中谷電気工事株式会社                              ,1,和歌山県立医科大学医薬看共同研究施設,　　,      ,         ,          ,                    ,
87549,2020/9/15,292,中谷電気工事株式会社                              ,2,出来高100%(\2046598の内査定90%),式　,1,1841938,1841938,                    ,
87587,2020/9/15,751,岡野消防設備株式会社                              ,1,123南昭和店　立体駐車場4階(NO26ｴﾘｱ),　　,      ,         ,          ,                    ,
87587,2020/9/15,751,岡野消防設備株式会社                              ,2,断線調査,式　,1,70000,70000,9月15日,
87590,2020/9/15,751,岡野消防設備株式会社                              ,1,123長吉店,　　,      ,         ,          ,                    ,
87590,2020/9/15,751,岡野消防設備株式会社                              ,2,納品,　　,      ,         ,          ,                    ,
87590,2020/9/15,751,岡野消防設備株式会社                              ,3,ＳＨ２５　ボールタップ,個　,1,6000,6000,                    ,
87593,2020/9/12,15,泉州防災株式会社                                  ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87593,2020/9/12,15,泉州防災株式会社                                  ,2,ライオンズマンション塩屋(機器点検),式　,1,47200,47200,9月5日,
87593,2020/9/12,15,泉州防災株式会社                                  ,3,ライオンズマンション中松江(総合点検),式　,1,72000,72000,9月12日,
87686,2020/9/12,36,有限会社紀州エンジニアリング                      ,1,ハイツウエヒラ,　　,      ,         ,          ,                    ,
87686,2020/9/12,36,有限会社紀州エンジニアリング                      ,2,自動火災報知設備誤報調査及び感知器,式　,1,12000,12000,9月12日,
87793,2020/9/12,138,北畑不動産株式会社                                ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87793,2020/9/12,138,北畑不動産株式会社                                ,2,貴望ビル（総合点検）,式　,1,30000,30000,9月12日,
87645,2020/9/12,751,岡野消防設備株式会社                              ,1,納品,　　,      ,         ,          ,                    ,
87645,2020/9/12,751,岡野消防設備株式会社                              ,2,１２３笹塚店,　　,      ,         ,          ,                    ,
87645,2020/9/12,751,岡野消防設備株式会社                              ,3,トイレリモコン,式　,1,26000,26000,9月12日,
87597,2020/9/11,15,泉州防災株式会社                                  ,1,ＭＥＧＡドン・キホーテ紀の川店,　　,      ,         ,          ,                    ,
87597,2020/9/11,15,泉州防災株式会社                                  ,2,消防設備不良箇所改修工事,式　,1,8000,8000,9月11日,
87523,2020/9/11,45,株式会社アイワライフネット                        ,1,グリーンヒル舩木　208号室,　　,      ,         ,          ,                    ,
87523,2020/9/11,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,2,3000,6000,9月11日,
87523,2020/9/11,45,株式会社アイワライフネット                        ,3,避難はしご表示板(使用法),枚　,1,1200,1200,〃                  ,
87523,2020/9/11,45,株式会社アイワライフネット                        ,4,取付費,式　,1,300,300,〃                  ,
87589,2020/9/11,751,岡野消防設備株式会社                              ,1,ＣＩＴＹ！ＷＡＫＡＹＡＭＡ,　　,      ,         ,          ,                    ,
87589,2020/9/11,751,岡野消防設備株式会社                              ,2,消防設備保守点検後不備改修工事,式　,1,49000,49000,9月11日,
87552,2020/9/10,140,有限会社三笠屋                                    ,1,タムラビル　消防設備保守点検（総合点検）,式　,1,70000,70000,9月10日,
87550,2020/9/10,354,松本電気工事                                      ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87550,2020/9/10,354,松本電気工事                                      ,2,かなや明恵峡温泉（総合点検）,式　,1,65000,65000,9月10日,
87588,2020/9/10,751,岡野消防設備株式会社                              ,1,ラッキー１ＢＡＮ宝塚店,　　,      ,         ,          ,                    ,
87588,2020/9/10,751,岡野消防設備株式会社                              ,2,自動火災報知設備断線調査,式　,1,70000,70000,9月10日,
87557,2020/9/10,763,株式会社ＭＡＲＵＥＩ                              ,1,岡持様室外機撤去再取付工事,　　,      ,         ,          ,8/17～9/10          ,
